R_ID,MRP_QS,MRP_FN,ASTRAL_QS,ASTRAL_FN,DCM2QFM_QS,DCM2QFM_FN,DCM5QFM_QS,DCM5QFM_FN,QFM_FN
1,10532553,0.088235294,10539036,0.088235294,10485672,0.088235294,10485672,0.088235294,0.058823529
2,10554231,0.058823529,10559440,0,10559440,0,10559440,0,0
3,10566367,0.058823529,10566367,0.058823529,10476180,0.029411765,10476180,0.029411765,0.029411765
4,10522974,0.029411765,10528036,0.029411765,10522493,0.088235294,10522493,0.088235294,0.058823529
5,10610755,0.058823529,10617404,0.058823529,10617404,0.058823529,10617404,0.058823529,0.058823529
6,10598864,0.117647059,10606950,0.058823529,10606950,0.058823529,10606950,0.058823529,0.058823529
7,10539413,0.088235294,10550495,0.088235294,10453713,0.058823529,10453713,0.058823529,0.058823529
8,10480253,0.088235294,10481257,0.088235294,10479985,0.029411765,10479985,0.029411765,0.029411765
9,10610588,0.117647059,10614910,0.088235294,10611176,0.029411765,10611176,0.029411765,0.058823529
10,10535321,0.088235294,10541020,0.088235294,10464027,0.117647059,10464027,0.117647059,0.088235294
11,10580959,0.058823529,10582235,0.029411765,10582235,0.029411765,10582235,0.029411765,0.029411765
12,10543168,0.029411765,10547540,0.029411765,10543058,0.029411765,10543058,0.029411765,0.029411765
13,10518104,0.088235294,10520138,0.117647059,10460685,0.117647059,10513940,0,0.058823529
14,10638663,0.088235294,10643872,0.088235294,10640542,0.029411765,10640542,0.029411765,0.088235294
15,10613915,0.147058824,10613915,0.147058824,10611534,0.117647059,10611534,0.117647059,0.117647059
16,10728857,0.088235294,10731753,0.058823529,10641298,0.058823529,10641298,0.058823529,0.029411765
17,10361996,0.117647059,10374613,0.058823529,10374613,0.058823529,10374613,0.058823529,0.058823529
18,10442603,0.058823529,10451233,0.029411765,10451233,0.029411765,10451233,0.029411765,0.029411765
19,10580421,0.058823529,10585274,0,10584521,0.029411765,10584521,0.029411765,0.029411765
20,10574355,0.058823529,10581021,0.058823529,10580261,0.029411765,10580261,0.029411765,0.029411765
