==== 1 ====
Iteration,FP,FN,RF
0,0.14705882352941177,0.14705882352941177,0.14705882352941177
1,0.029411764705882353,0.029411764705882353,0.029411764705882353
2,0.08823529411764706,0.08823529411764706,0.08823529411764706
3,0.08823529411764706,0.08823529411764706,0.08823529411764706
4,0.08823529411764706,0.08823529411764706,0.08823529411764706
5,0.08823529411764706,0.08823529411764706,0.08823529411764706
ASTRAL,0.08823529411764706,0.08823529411764706,0.08823529411764706
QFM,0.029411764705882353,0.029411764705882353,0.029411764705882353
==== 2 ====
Iteration,FP,FN,RF
0,0.09090909090909091,0.11764705882352941,0.10427807486631016
1,0.0625,0.11764705882352941,0.0900735294117647
2,0.06451612903225806,0.14705882352941177,0.10578747628083492
3,0.06666666666666667,0.17647058823529413,0.1215686274509804
4,0.12903225806451613,0.20588235294117646,0.1674573055028463
5,0.0967741935483871,0.17647058823529413,0.1366223908918406
ASTRAL,0.11764705882352941,0.11764705882352941,0.11764705882352941
QFM,0.11764705882352941,0.11764705882352941,0.11764705882352941
==== 3 ====
Iteration,FP,FN,RF
0,0.11764705882352941,0.11764705882352941,0.11764705882352941
1,0.12121212121212122,0.14705882352941177,0.1341354723707665
2,0.11764705882352941,0.11764705882352941,0.11764705882352941
3,0.11764705882352941,0.11764705882352941,0.11764705882352941
4,0.11764705882352941,0.11764705882352941,0.11764705882352941
5,0.11764705882352941,0.11764705882352941,0.11764705882352941
ASTRAL,0.11764705882352941,0.11764705882352941,0.11764705882352941
QFM,0.11764705882352941,0.11764705882352941,0.11764705882352941
==== 10 ====
Iteration,FP,FN,RF
0,0.03333333333333333,0.14705882352941177,0.09019607843137255
1,0.03225806451612903,0.11764705882352941,0.07495256166982922
2,0.03333333333333333,0.14705882352941177,0.09019607843137255
3,0.03225806451612903,0.11764705882352941,0.07495256166982922
4,0.03333333333333333,0.14705882352941177,0.09019607843137255
5,0.03225806451612903,0.11764705882352941,0.07495256166982922
ASTRAL,0.11764705882352941,0.11764705882352941,0.11764705882352941
QFM,0.058823529411764705,0.058823529411764705,0.058823529411764705
==== 11 ====
Iteration,FP,FN,RF
0,0.15151515151515152,0.17647058823529413,0.16399286987522282
1,0.15625,0.20588235294117646,0.18106617647058823
2,0.12121212121212122,0.14705882352941177,0.1341354723707665
3,0.125,0.17647058823529413,0.15073529411764708
4,0.18181818181818182,0.20588235294117646,0.19385026737967914
5,0.15151515151515152,0.17647058823529413,0.16399286987522282
ASTRAL,0.17647058823529413,0.17647058823529413,0.17647058823529413
QFM,0.11764705882352941,0.11764705882352941,0.11764705882352941
==== 12 ====
Iteration,FP,FN,RF
0,0.03225806451612903,0.11764705882352941,0.07495256166982922
1,0.03225806451612903,0.11764705882352941,0.07495256166982922
2,0.03125,0.08823529411764706,0.05974264705882353
3,0.0,0.17647058823529413,0.08823529411764706
4,0.0,0.11764705882352941,0.058823529411764705
5,0.03225806451612903,0.11764705882352941,0.07495256166982922
ASTRAL,0.058823529411764705,0.058823529411764705,0.058823529411764705
QFM,0.08823529411764706,0.08823529411764706,0.08823529411764706
==== 13 ====
Iteration,FP,FN,RF
0,0.06060606060606061,0.08823529411764706,0.07442067736185384
1,0.03333333333333333,0.14705882352941177,0.09019607843137255
2,0.03125,0.08823529411764706,0.05974264705882353
3,0.0,0.058823529411764705,0.029411764705882353
4,0.03125,0.08823529411764706,0.05974264705882353
5,0.0,0.08823529411764706,0.04411764705882353
ASTRAL,0.029411764705882353,0.029411764705882353,0.029411764705882353
QFM,0.029411764705882353,0.029411764705882353,0.029411764705882353
==== 14 ====
Iteration,FP,FN,RF
0,0.12121212121212122,0.14705882352941177,0.1341354723707665
1,0.12121212121212122,0.14705882352941177,0.1341354723707665
2,0.12121212121212122,0.14705882352941177,0.1341354723707665
3,0.12121212121212122,0.14705882352941177,0.1341354723707665
4,0.12121212121212122,0.14705882352941177,0.1341354723707665
5,0.12121212121212122,0.14705882352941177,0.1341354723707665
ASTRAL,0.08823529411764706,0.08823529411764706,0.08823529411764706
QFM,0.11764705882352941,0.11764705882352941,0.11764705882352941
==== 15 ====
Iteration,FP,FN,RF
0,0.06060606060606061,0.08823529411764706,0.07442067736185384
1,0.0625,0.11764705882352941,0.0900735294117647
2,0.0,0.11764705882352941,0.058823529411764705
3,0.09090909090909091,0.11764705882352941,0.10427807486631016
4,0.06060606060606061,0.08823529411764706,0.07442067736185384
5,0.0625,0.11764705882352941,0.0900735294117647
ASTRAL,0.058823529411764705,0.058823529411764705,0.058823529411764705
QFM,0.08823529411764706,0.08823529411764706,0.08823529411764706
==== 16 ====
Iteration,FP,FN,RF
0,0.09375,0.14705882352941177,0.12040441176470588
1,0.09375,0.14705882352941177,0.12040441176470588
2,0.03333333333333333,0.14705882352941177,0.09019607843137255
3,0.12121212121212122,0.14705882352941177,0.1341354723707665
4,0.06060606060606061,0.08823529411764706,0.07442067736185384
5,0.0625,0.11764705882352941,0.0900735294117647
ASTRAL,0.08823529411764706,0.08823529411764706,0.08823529411764706
QFM,0.08823529411764706,0.08823529411764706,0.08823529411764706
==== 17 ====
Iteration,FP,FN,RF
0,0.06060606060606061,0.08823529411764706,0.07442067736185384
1,0.06060606060606061,0.08823529411764706,0.07442067736185384
2,0.06060606060606061,0.08823529411764706,0.07442067736185384
3,0.06060606060606061,0.08823529411764706,0.07442067736185384
4,0.06060606060606061,0.08823529411764706,0.07442067736185384
5,0.06060606060606061,0.08823529411764706,0.07442067736185384
ASTRAL,0.029411764705882353,0.029411764705882353,0.029411764705882353
