R_ID,MRP_QS,MRP_FN,ASTRAL_QS,ASTRAL_FN,DCM2QFM_QS,DCM2QFM_FN,DCM5QFM_QS,DCM5QFM_FN,QFM_FN
1,11567110,0.029411765,11567521,0,11567521,0,11567521,0,0
2,11634185,0,11634185,0,11634185,0,11634185,0,0
3,11528599,0.029411765,11531822,0,11442462,0.029411765,11442462,0.029411765,0
4,11500564,0,11500564,0,11500564,0,11500564,0,0
5,11691463,0.058823529,11691463,0.058823529,11691463,0.058823529,11691463,0.058823529,0.058823529
6,11665594,0,11665594,0,11665594,0,11665594,0,0
7,11645711,0.029411765,11645880,0.058823529,11645711,0.029411765,11645711,0.029411765,0.029411765
8,11536278,0.088235294,11537947,0.029411765,11537947,0.029411765,11537947,0.029411765,0.029411765
9,11555131,0.029411765,11555131,0.029411765,11554757,0,11554757,0,0
10,11584773,0.058823529,11585349,0.029411765,11585349,0.029411765,11585349,0.029411765,0.029411765
11,11608030,0,11608030,0,11608030,0,11608030,0,0
12,11537917,0,11539880,0.029411765,11537917,0,11537917,0,0
13,11542499,0.058823529,11542499,0.058823529,11542499,0.058823529,11542499,0.058823529,0.058823529
14,11594156,0.058823529,11598351,0.029411765,11598351,0.029411765,11598351,0.029411765,0.029411765
15,11587391,0.029411765,11587391,0.029411765,11587092,0,11587092,0,0
16,11631120,0.058823529,11631278,0.029411765,11631278,0.029411765,11631278,0.029411765,0.029411765
17,11591009,0.058823529,11593217,0.029411765,11593217,0.029411765,11593217,0.029411765,0.029411765
18,11496058,0,11496058,0,11496058,0,11496058,0,0
19,11592080,0.029411765,11600968,0,11600968,0,11600968,0,0
20,11614859,0.058823529,11619701,0.029411765,11619595,0,11619595,0,0
