R_ID,MRP_QS,MRP_FN,ASTRAL_QS,ASTRAL_FN,DCM2QFM_QS,DCM2QFM_FN,DCM5QFM_QS,DCM5QFM_FN,QFM_FN
1,10005775,0.088235294,10018088,0.058823529,9943647,0.058823529,9943647,0.058823529,0.058823529
2,9966771,0.029411765,9966771,0.029411765,9966771,0.029411765,9966771,0.029411765,0.058823529
3,10014042,0.029411765,10021859,0.058823529,10017156,0.088235294,10021810,0.088235294,0.088235294
4,9894294,0.058823529,9896186,0.029411765,9892330,0.058823529,9892330,0.058823529,0.088235294
5,10061041,0.088235294,10066567,0.088235294,10066125,0.058823529,10066125,0.058823529,0.058823529
6,9965725,0.058823529,9980371,0,9887624,0.029411765,9887624,0.029411765,0
7,10046094,0.058823529,10046251,0.029411765,10043117,0.058823529,10043117,0.058823529,0.058823529
8,9923771,0.117647059,9933142,0.088235294,9839501,0.088235294,9839501,0.088235294,0.088235294
9,10008918,0.029411765,10021202,0.029411765,10017325,0,10017325,0,0.029411765
10,10086099,0.088235294,10094873,0.029411765,10094324,0,10094324,0,0
11,9963358,0.029411765,9963358,0.029411765,9875979,0.029411765,9875979,0.029411765,0.029411765
12,9891247,0.029411765,9909992,0.058823529,9815377,0.058823529,9815377,0.058823529,0.029411765
13,10083043,0.029411765,10083043,0.029411765,10083043,0.029411765,10083043,0.029411765,0.029411765
14,10235750,0.058823529,10239226,0.029411765,10237882,0,10237882,0,0
15,10071839,0.029411765,10071839,0.029411765,10071839,0.029411765,10071839,0.029411765,0.029411765
16,10003958,0.058823529,10006573,0.058823529,9892672,0.088235294,9920714,0.029411765,0
17,9924688,0.058823529,9942686,0.058823529,9942686,0.058823529,9942686,0.058823529,0.058823529
18,9820897,0.058823529,9835040,0.058823529,9834528,0.029411765,9834528,0.029411765,0.029411765
19,10054446,0.058823529,10057419,0.088235294,10053568,0.058823529,10053568,0.058823529,0.058823529
20,9991756,0.029411765,9994025,0.088235294,9994025,0.088235294,9994025,0.088235294,0.088235294
