R_ID,MRP_QS,MRP_FN,ASTRAL_QS,ASTRAL_FN,DCM2QFM_QS,DCM2QFM_FN,DCM5QFM_QS,DCM5QFM_FN,QFM_FN
1,5635982,0.058823529,5639316,0.058823529,5639284,0.029411765,5639284,0.029411765,0.029411765
2,5732255,0.088235294,5732442,0.058823529,5732255,0.088235294,5732255,0.088235294,0.088235294
3,5663932,0.058823529,5664109,0.058823529,5664109,0.058823529,5664109,0.058823529,0.058823529
4,5549845,0.029411765,5550501,0.029411765,5550501,0.029411765,5550501,0.029411765,0.029411765
5,5631039,0.088235294,5631161,0.058823529,5631039,0.088235294,5631039,0.088235294,0.088235294
6,5668052,0.029411765,5673183,0.088235294,5673002,0.058823529,5673002,0.058823529,0.088235294
7,5677057,0.117647059,5677057,0.117647059,5677057,0.117647059,5677057,0.117647059,0.117647059
8,5578362,0.029411765,5582731,0.058823529,5582605,0.058823529,5582605,0.058823529,0.058823529
9,5615636,0.117647059,5615636,0.117647059,5612885,0.029411765,5612885,0.029411765,0.058823529
10,5671071,0.058823529,5672261,0.029411765,5628395,0.058823529,5628395,0.058823529,0.029411765
11,5646564,0.088235294,5646825,0.058823529,5645133,0.029411765,5645133,0.029411765,0.029411765
12,5613667,0.058823529,5613667,0.058823529,5613065,0.029411765,5613065,0.029411765,0.029411765
13,5606850,0.117647059,5606850,0.117647059,5606850,0.117647059,5606850,0.117647059,0.058823529
14,5651457,0.088235294,5651897,0.117647059,5612558,0.117647059,5612558,0.117647059,0.058823529
15,5624028,0.088235294,5630308,0.058823529,5585041,0.088235294,5585041,0.088235294,0.117647059
16,5627148,0.058823529,5633135,0.088235294,5632263,0.058823529,5632263,0.058823529,0.058823529
17,5678599,0.058823529,5679208,0.088235294,5655503,0.088235294,5678599,0.058823529,0.058823529
18,5586024,0.029411765,5595050,0,5595050,0,5595050,0,0
19,5618493,0.029411765,5618493,0.029411765,5618493,0.029411765,5618493,0.029411765,0.029411765
20,5601134,0.117647059,5606827,0.117647059,5606827,0.117647059,5606827,0.117647059,0.117647059
