R_ID,MRL_QS,MRL_FN,ASTRAL_QS,ASTRAL_FN,DCM2QFM_QS,DCM2QFM_FN,DCM5QFM_QS,DCM5QFM_FN
1,10532553,0.08823529411764706,10539036,0.08823529411764706,10485672,0.08823529411764706,10485672,0.08823529411764706
2,10554231,0.058823529411764705,10559440,0.0,10559440,0.0,10559440,0.0
3,10566367,0.058823529411764705,10566367,0.058823529411764705,10476180,0.029411764705882353,10476180,0.029411764705882353
4,10522974,0.029411764705882353,10528036,0.029411764705882353,10522493,0.08823529411764706,10522493,0.08823529411764706
5,10610755,0.058823529411764705,10617404,0.058823529411764705,10617404,0.058823529411764705,10617404,0.058823529411764705
6,10598864,0.11764705882352941,10606950,0.058823529411764705,10606950,0.058823529411764705,10606950,0.058823529411764705
7,10539413,0.08823529411764706,10550495,0.08823529411764706,10453713,0.058823529411764705,10453713,0.058823529411764705
8,10480253,0.08823529411764706,10481257,0.08823529411764706,10479985,0.029411764705882353,10479985,0.029411764705882353
9,10610588,0.11764705882352941,10614910,0.08823529411764706,10611176,0.029411764705882353,10611176,0.029411764705882353
10,10535321,0.08823529411764706,10541020,0.08823529411764706,10464027,0.11764705882352941,10464027,0.11764705882352941
11,10580959,0.058823529411764705,10582235,0.029411764705882353,10582235,0.029411764705882353,10582235,0.029411764705882353
12,10543168,0.029411764705882353,10547540,0.029411764705882353,10543058,0.029411764705882353,10543058,0.029411764705882353
13,10518104,0.08823529411764706,10520138,0.11764705882352941,10460685,0.11764705882352941,10513940,0.0
14,10638663,0.08823529411764706,10643872,0.08823529411764706,10640542,0.029411764705882353,10640542,0.029411764705882353
15,10613915,0.14705882352941177,10613915,0.14705882352941177,10611534,0.11764705882352941,10611534,0.11764705882352941
16,10728857,0.08823529411764706,10731753,0.058823529411764705,10641298,0.058823529411764705,10641298,0.058823529411764705
17,10361996,0.11764705882352941,10374613,0.058823529411764705,10374613,0.058823529411764705,10374613,0.058823529411764705
18,10442603,0.058823529411764705,10451233,0.029411764705882353,10451233,0.029411764705882353,10451233,0.029411764705882353
19,10580421,0.058823529411764705,10585274,0.0,10584521,0.029411764705882353,10584521,0.029411764705882353
20,10574355,0.058823529411764705,10581021,0.058823529411764705,10580261,0.029411764705882353,10580261,0.029411764705882353
